STT,LINK,,TEXT(viết promp vào cái này nhé),CHAT GPT
16,https://www.tiktok.com/@lovepets.tv/video/7315022528605441313?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh những chú mèo con thân thiết ,"A heartwarming scene of adorable kittens cuddling together, showcasing their strong bond and friendship."
17,https://www.tiktok.com/@lovepets.tv/video/7314350091727310112?is_from_webapp=1&sender_device=pc,,,#ERROR
18,https://www.tiktok.com/@tianyuanmengchong/video/7329370015675747627?is_from_webapp=1&sender_device=pc,,,#ERROR
19,https://www.tiktok.com/@tianyuanmengchong/video/7318342590586277163?is_from_webapp=1&sender_device=pc,,,#ERROR
20,https://www.tiktok.com/@tianyuanmengchong/video/7321307986712988974?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn dâu tây,"The adorable bunny happily munches on the juicy strawberries, savoring every sweet and tangy bite."
21,https://www.tiktok.com/@lovely.animals1990/video/7305932336619703554?is_from_webapp=1&sender_device=pc&web_id=7286751695433844225,,,#ERROR
22,https://www.youtube.com/shorts/Pcg7FaQ-ymg,,,#ERROR
23,https://www.tiktok.com/@tianyuanmengchong/video/7335296081590275370?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ ăn trái lựu,"The adorable bunny enjoyed munching on the juicy pomegranate, savoring every sweet and tangy bite."
24,https://www.tiktok.com/@tianyuanmengchong/video/7320559773739502894?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú thỏ có niềm đam mê với dâu tây,The little rabbit's eyes sparkled with passion as it gazed at the juicy strawberries.
25,https://www.tiktok.com/@rubiishop/video/7310441727054138626?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn dưa hấy ,"The adorable hamster happily munches on a juicy slice of cucumber, savoring every bite."
26,https://www.tiktok.com/@pest_cute/video/7256312178645486853?is_from_webapp=1&sender_device=pc,,,#ERROR
27,https://www.tiktok.com/@cutedog9999/video/7327470619476430122?is_from_webapp=1&sender_device=pc,,,#ERROR
28,https://www.tiktok.com/@cutedog9999/video/7338677698757201198?is_from_webapp=1&sender_device=pc,,dịch tiếng anh: chào mừng đến với thế giới của những chú chó đáng yêu,Welcome to the world of adorable dogs.
29,https://www.tiktok.com/@lovepets.tv/video/7314983562103622945?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh  chú mèo có khả năng đứng bằng hai chân,"The cat amazed everyone by effortlessly standing on its hind legs, showcasing its incredible ability."
30,https://www.tiktok.com/@lovepets.tv/video/7314231136073436449?is_from_webapp=1&sender_device=pc,,,#ERROR
31,https://www.tiktok.com/@penelope_the_mini_pig_/video/7311471285631028523?is_from_webapp=1&sender_device=pc,,VIẾT ĐOẠN VĂN VỀ CON chuột đang ăn dâu tây TRONG 10 CHỮ BẰNG TIẾNG ANH,The mouse eats strawberry.
32,https://www.tiktok.com/@cutedog9999/video/7338311990538095918?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chó và chú lợn ham ăn,"The dog and the pig were both greedy for food, constantly competing to see who could eat the most."
33,https://www.tiktok.com/@rubiishop/video/7331273352251804948?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh chú chuột hamster ăn bánh,The scene of a hamster munching on a cake is simply adorable and heartwarming.
34,https://www.tiktok.com/@cutedog9999/video/7338776883921964334?is_from_webapp=1&sender_device=pc,,viết 1 câu content 15 từ bằng tiếng anh  về cảnh những chú chó vui đùa trên tuyết,"The playful dogs frolic in the snow, chasing each other and rolling around with joy."
35,https://www.tiktok.com/@lovepets.tv/video/7315015324611513632?is_from_webapp=1&sender_device=pc,,"viết khác: ""As we wrap up this heartwarming pets video, remember to spread the love - give it a thumbs up, subscribe, and become a part of our wonderful community of pet enthusiasts!viết","As we conclude this heartwarming pets video, don't forget to share the love - show your support by giving it a thumbs up, subscribing, and joining our amazing community of pet lovers!"
